business_id,name,address,postal_code,stars,review_count,categories,WorkingHours.Monday,WorkingHours.Tuesday,WorkingHours.Wednesday,WorkingHours.Thursday,WorkingHours.Friday,WorkingHours.Saturday,WorkingHours.Sunday
VCkSUsdL5P0p16DAPxVROA,NY Bagel & Deli Shop,1120 Buttonwood St,19123,4.0,31,"Bagels, Food, Breakfast & Brunch, Coffee & Tea, Restaurants, Burgers, Delis",7:0-16:0,7:0-16:0,7:0-16:0,7:0-16:0,7:0-16:0,7:0-16:0,7:0-16:0
kGjpBqAqG4mIuFSgU2KKEA,The Royal Indian Cuisine,272 S 20th St,19103,4.0,28,"Restaurants, Indian",16:0-22:0,closed,11:0-22:0,11:0-22:0,11:0-22:30,11:0-22:30,11:0-22:0
JomDoQafikclSVVCPkWjnA,Cedar Park Cafe,4914 Baltimore Ave,19143,4.0,301,"Diners, Restaurants, Sandwiches, Breakfast & Brunch, Vegetarian",7:0-15:0,7:0-15:0,7:0-15:0,7:0-15:0,7:0-15:0,7:0-15:30,7:0-15:30
kq5Ghhh14r-eCxlVmlyd8w,The Coventry Deli,2000 Market St,19103,4.0,65,"Restaurants, Delis, Salad, Sandwiches",6:0-15:0,6:0-15:0,6:0-15:0,6:0-15:0,6:0-15:0,closed,closed
y1HgVnt4K5owmYXC5yXLGg,Flambo Caribbean Restaurant,820 N Broad St,19130,4.5,138,"Trinidadian, Caribbean, Restaurants, Seafood",0:0-0:0,12:0-21:0,11:30-20:30,11:30-20:30,11:30-20:30,11:30-20:30,11:30-20:30
RrqRin8BYGrTlJbCDwtLzA,Wawa,3744 Spruce St,19104,3.5,50,"Delis, Gas Stations, Food, Convenience Stores, Restaurants, Automotive, Coffee & Tea, Sandwiches",0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0
HuDNHqKv9n1mWpe4BqCnwA,Minas Pizza,6151 Ridge Ave,19128,3.0,54,"Restaurants, Pizza",0:0-0:0,11:0-21:45,11:0-21:45,11:0-21:45,11:0-21:45,11:0-21:45,12:0-20:30
BxR5hjyBnJZrm_nnaCtGQw,The Lunar Inn,3124 Richmond St,19134,4.5,29,"Bars, Food, Restaurants, Beer, Wine & Spirits, American (Traditional), Nightlife",0:0-0:0,16:0-22:0,16:0-22:0,16:0-22:0,16:0-23:0,12:0-23:0,11:0-16:0
NQSnr4RPUScss607oxOaqw,Chase's Hop Shop,7235 Rising Sun Ave,19111,4.5,116,"Chicken Wings, Nightlife, Bars, Delis, Food, Beer Gardens, Sandwiches, Beer Bar, Restaurants, Beer, Wine & Spirits, Gastropubs",0:0-0:0,13:15-20:30,14:0-20:30,14:0-20:30,11:45-21:0,14:0-21:0,11:45-20:0
V6Om7YZhlRQRU7WfuxHq8Q,Beck's Cajun Cafe,51 N 12th St,19107,4.0,485,"Restaurants, Cajun/Creole",8:0-18:0,8:0-18:0,8:0-18:0,8:0-18:0,8:0-18:0,8:0-18:0,8:0-18:0
DOl21AqtT74dUZ3kvXNNcA,Golden Triangle,610 S 5th St,19147,4.5,159,"Restaurants, Malaysian, Burmese, Asian Fusion, Thai",0:0-0:0,12:0-22:0,12:0-22:0,12:0-22:0,12:0-22:0,12:0-22:0,closed
PvT44WlqJLkUrCITo6AjRA,Breakfast Boutique Chestnut Hill,8630 Germantown Ave,19118,3.0,151,"Breakfast & Brunch, Restaurants",closed,closed,8:0-14:30,7:30-16:0,7:30-15:0,7:30-15:0,8:0-14:0
U30ggGzFpXvc2NZYwOW3qg,Mood Cafe,4618 Baltimore Ave,19143,4.5,458,"Cafes, Pakistani, Juice Bars & Smoothies, Restaurants, Ice Cream & Frozen Yogurt, Halal, Indian, Coffee & Tea, Food",12:0-22:0,12:0-22:0,12:0-22:0,12:0-22:0,12:0-22:0,12:0-22:0,12:0-22:0
68ThEdiK0eWCEgGEmV9Tng,Southgate,1801 Lombard St,19146,4.0,323,"Breakfast & Brunch, American (Traditional), Korean, Restaurants, Gastropubs, Nightlife, Bars, Cocktail Bars",0:0-0:0,16:0-21:0,16:0-21:0,16:0-21:0,16:0-22:0,14:0-22:0,14:0-21:0
cEG1r9aRMJwmRQVkh7eiJg,Falls Deli,3492 Tilden St,19129,4.5,31,"Bagels, Food, Sandwiches, Delis, Breakfast & Brunch, Restaurants, Event Planning & Services, Caterers",0:0-0:0,7:0-13:0,7:30-19:0,7:30-19:0,7:30-19:0,7:30-19:0,7:30-19:0
TttFjRQ-8Iz8by4hsD7iOQ,Angelina's,743 S 8th St,19147,4.5,49,"Restaurants, Italian",closed,closed,17:0-22:0,17:0-22:0,17:0-22:0,17:0-22:0,16:0-21:0
di5ihAL9VWoctHelY8kLTQ,Gigi and Big R,38th and Spruce,19104,4.0,81,"Restaurants, Food, Caribbean, Food Trucks",,,,,,,
Pb5agnsD9EdCl6yuZp2jJA,O Sole Mio,250 Catharine St,19147,4.5,85,"Food, Seafood, Sardinian, Gelato, Restaurants, Pizza, Italian",closed,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,1:0-22:0
B6qHZCAs7Nka-1zdjCzAIQ,Butter's Soul Food,2730 W Girard Ave,19130,3.0,77,"Food, Caterers, Event Planning & Services, Restaurants, Soul Food",closed,12:0-20:0,12:0-20:0,12:0-20:0,12:0-21:0,12:0-21:0,12:0-20:0
3Lf3nWp9TcIj7hvw9YZeMA,Cannuli's Quality Meats & Poultry,937 S 9th St,19147,4.5,38,"Specialty Food, Caterers, Meat Shops, Food, Event Planning & Services",closed,9:0-17:30,9:0-17:30,9:0-17:30,9:0-17:30,8:0-17:30,8:0-13:30
cLlBDZxYJ1dt1JgMuZnXew,Olly,700 S 5th St,19147,4.0,51,"Pizza, Food, Bagels, Sandwiches, Comfort Food, Breakfast & Brunch, Burgers, American (New), Nightlife, Bars, Wine Bars, Restaurants",0:0-0:0,closed,16:0-21:0,16:0-21:0,12:0-21:0,12:0-21:0,12:0-20:0
MMRRS6YhVRx_iN5-JhMRYg,Han Dynasty,3711 Market St,19104,4.0,783,"Restaurants, Chinese, Szechuan",11:30-21:0,11:30-21:0,11:30-21:0,11:30-21:0,11:30-21:30,11:30-21:30,11:30-21:0
ugSVRAKO6mxvsrElFg8USw,México Lindo,700 Moore St,19148,4.5,73,"Mexican, Restaurants",10:0-22:0,10:0-22:0,10:0-22:0,10:0-22:0,10:0-22:0,10:0-22:0,10:0-22:0
00Vn4VUTWl71_cFPziRQNQ,Crab & Claw,7801 Ogontz Ave,19150,3.0,65,"Seafood Markets, Specialty Food, Food",9:30-21:0,9:30-21:0,9:30-21:0,9:30-21:0,9:30-22:0,9:30-22:0,10:30-18:30
Zk_GdMMPgEfKUECCxAxvwQ,Pho Nam Giang,427 Franklin Mills Cir,19154,4.5,23,"Chinese, Restaurants, Vietnamese, Asian Fusion",11:30-21:30,11:30-21:30,11:30-21:30,11:30-21:30,11:30-21:30,11:30-21:30,11:30-21:30
eqNutOMnPqKa9QDAY6KfEw,J'aime French Bakery,212 S 12th St,19107,4.5,310,"Food, Juice Bars & Smoothies, Coffee & Tea, Restaurants, Bakeries, Cafes",0:0-0:0,7:0-16:0,7:0-16:0,8:0-13:0,8:0-13:0,8:0-16:0,8:0-16:0
7lwe7n-Yc-V9E_HfLAeylg,Pub & Kitchen,1946 Lombard St,19146,3.5,615,"Restaurants, Pubs, Food, Bars, American (New), Nightlife",16:0-0:0,16:0-0:0,16:0-0:0,16:0-0:0,16:0-0:0,11:0-0:0,11:0-0:0
oBhJuukGRqPVvYBfTkhuZA,Square 1682,121 S 17th St,19103,3.5,385,"American (New), Breakfast & Brunch, Bars, Nightlife, Restaurants",0:0-0:0,17:0-22:0,17:0-22:0,17:0-22:0,17:0-22:0,17:0-22:0,9:0-14:0
7sKfrJmjG6unAQeWdQUe2w,Franzone's Pizzeria & Restaurant,114 Levering St,19127,3.5,110,"Pizza, Restaurants",11:0-22:0,11:0-22:0,11:0-22:0,11:0-23:0,11:0-23:0,11:0-23:0,11:0-23:0
14ZGwnDyydXdSBsLXpSUrA,Vientiane Café,4728 Baltimore Ave,19143,4.0,304,"Vietnamese, Restaurants, Food, Thai, Coffee & Tea, Laotian",0:0-0:0,16:0-21:0,16:0-21:0,16:0-21:0,16:0-21:0,16:0-21:0,closed
9XpU6r6ATXSWYfbU7kibaQ,Passero's Coffee Roasters,1601 John F Kennedy Blvd,19103,4.5,91,"Coffee & Tea, Restaurants, Food, Coffee Roasteries, Sandwiches",,,,,,,
ld1b8y_PHH6Mn_e7T0u04g,Gachi Sushi and Noodle,"8500 Essington Ave, A West Terminal",19153,4.0,95,"Noodles, Japanese, Restaurants, Sushi Bars",5:0-22:0,5:0-22:0,5:0-22:0,5:0-22:0,5:0-22:0,5:0-22:0,5:0-22:0
fr2qDm_mY1afIGMvqsKUCg,George's Wings,3818 Morrell Ave,19114,3.5,50,"American (Traditional), Fast Food, Restaurants, Chicken Wings, Food, Seafood, Sandwiches, Wraps, Burgers",11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-23:0,11:0-23:0,12:0-22:0
GOSVLhjUT6TnrPhkkmDOpw,Vineyards Cafe,847 N 16th St,19130,4.5,192,"Coffee & Tea, Cafes, Food, Creperies, Internet Cafes, Restaurants, Breakfast & Brunch",0:0-0:0,7:0-15:0,7:0-15:0,7:0-15:0,7:0-15:0,8:0-15:0,8:0-15:0
kOHcpCZQd4uNp6G2uE8o2A,PrimoHoagies,1528 W Ritner St,19145,4.0,43,"Delis, Restaurants, Italian, Local Flavor, Sandwiches",0:0-0:0,9:0-16:0,9:0-16:0,9:0-16:0,9:0-16:0,9:0-16:0,9:0-15:0
h85b3MFPWyaopMBy8DpBpA,Ron's Caribbean Cuisine,5726 N Broad St,19141,4.0,142,"Restaurants, Food, Ethnic Food, Cafes, Caribbean, Specialty Food",10:0-21:0,10:0-21:0,10:0-21:0,10:0-21:0,10:0-22:0,10:0-22:0,11:0-20:0
ZMJz4ekxrcZdhBcnK4B_6g,Kurry Shack,2015 E Moyamensing Ave,19148,3.5,29,"Vegetarian, Specialty Food, Health Markets, Halal, Indian, Restaurants, Food",11:30-21:45,11:30-21:45,closed,11:30-21:45,11:30-22:45,11:30-22:45,11:30-21:45
sdWuLh-auc0nC2Jy6_26AQ,The Black Sheep Pub & Restaurant,247 S 17th St,19103,3.5,339,"Bars, Pubs, Irish Pub, Nightlife, Sports Bars, Restaurants, American (New)",11:0-23:0,11:0-23:0,11:0-23:0,11:0-23:0,11:0-23:0,11:0-23:0,11:0-23:0
eDMFTNR_o3Z2wK8WmAo77Q,CVS Pharmacy,3780 Main St,19127,3.0,33,"Shopping, Convenience Stores, Pharmacy, Health & Medical, Food, Drugstores",0:0-0:0,8:0-22:0,8:0-22:0,8:0-22:0,8:0-23:0,8:0-23:0,8:0-22:0
3CsBRtDT5WOUu8IY0mHhXw,Slices Pizza,4249 Ridge Ave,19129,4.0,122,"Pizza, Food, Restaurants",11:0-21:0,11:0-21:0,11:0-21:0,11:0-22:0,11:0-22:0,12:0-22:0,12:0-21:0
1NCUTTp6rIyXpwUDVv9qOA,Lazos Pizza & Grill,2533 Poplar St,19130,4.0,176,"Pizza, American (Traditional), Restaurants, Italian",11:0-23:0,11:0-23:0,11:0-23:0,11:0-23:0,11:0-0:0,11:0-0:0,12:0-22:0
qHCfhWPyb1GXpzq9Wk3Vkg,New England Pizza,6728 Bustleton Ave,19149,3.0,22,"Pizza, Restaurants",11:0-23:0,11:0-23:0,11:0-23:0,11:0-0:0,11:0-0:0,11:0-0:0,12:0-23:0
Tdz-vjDRKI6LRzyaW3BMkg,Charlie's Roast Pork,1301 S 3rd St,19147,4.5,30,"Restaurants, Breakfast & Brunch, Sandwiches",11:0-23:0,10:0-23:0,10:0-23:0,10:0-23:0,10:0-23:0,10:0-23:0,10:0-23:0
h0Gy4HEgeZvN9kb3_rB5JA,New Liberty Distillery,1431 N Cadwallader St,19122,4.5,48,"Food, Beer, Wine & Spirits, Distilleries, Venues & Event Spaces, Event Planning & Services, Bars, Nightlife",12:0-17:0,12:0-17:0,12:0-17:0,12:0-17:0,12:0-20:0,12:0-20:0,12:0-17:0
OTBWyXkNsBYHqIlXJXnEDA,Starbucks,1528 Walnut St,19102,3.0,39,"Food, Coffee & Tea",0:0-0:0,5:0-20:0,5:0-20:0,5:0-20:0,5:0-20:0,6:0-20:0,6:0-20:0
8LonS_bxNmCDk3FWiG9lzA,Tomo Sushi & Ramen,228 Arch St,19106,4.5,193,"Japanese, Restaurants, Ramen, Sushi Bars",0:0-0:0,15:0-21:30,15:0-21:30,15:0-21:30,15:0-22:30,15:0-22:30,15:0-21:30
cqIYskWPVQ0rz1XSG0ohxg,City Food Tours,,19102,4.5,48,"Hotels & Travel, Specialty Food, Food, Food Tours, Tours",9:0-17:0,9:0-17:0,9:0-17:0,9:0-17:0,9:0-17:0,9:0-17:0,9:0-17:0
Ydo8zFl1PaO--g5zwyVyVg,Loco Lucho's Latino Kitchen,51 N 12th St,19107,3.5,40,"Spanish, Restaurants, Latin American, Puerto Rican, Caribbean, Cuban",9:0-18:0,9:0-18:0,9:0-18:0,9:0-18:0,9:0-18:0,9:0-18:0,9:0-18:0
xruWHK8Z5N0JWyQubLHjgA,Potito's Italian American Pastries,1614 W Ritner St,19145,3.5,88,"Food, Restaurants, Bakeries",closed,7:0-20:0,7:0-20:0,7:0-20:0,7:0-20:0,7:0-20:0,7:0-18:0
TFnGJlA5l_HDdzGDkNTdTA,Smiths Restaurant and Bar,"39 S 19th St, Ste 41",19103,3.0,225,"American (New), Bars, Nightlife, Lounges, Restaurants",16:0-19:0,16:0-19:0,16:0-19:0,16:0-19:0,16:0-19:0,16:0-19:0,16:0-19:0
I5KZm-NnxYeEQsmp6nK5_w,Las Cazuelas Restaurant BYOB,426 W Girard Ave,19123,4.0,338,"Food, Tacos, Mexican, Latin American, Restaurants, Spanish",0:0-0:0,11:0-21:0,12:0-21:0,12:0-22:0,12:0-22:0,12:0-22:0,12:0-21:0
zUJMvjK6aBeQtVCowZ85-w,Panasian Buffet,833 Adams Ave,19124,3.5,62,"Pan Asian, Japanese, Buffets, Restaurants, American (Traditional), Chinese, Seafood",11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-23:0,11:0-23:0,11:0-22:0
vdpxxb6fxjYtJMnW_V0GZg,Lucky Goat Coffeehouse,888 N 26th St,19130,4.5,135,"Food, Coffee & Tea",8:0-14:0,8:0-14:0,8:0-14:0,8:0-14:0,8:0-14:0,8:0-14:0,8:0-14:0
8hgo446H2HoYlZocEi1SJw,Paris Baguette,6773 N 5th St,19126,4.0,32,"Bakeries, Food",,,,,,,
zwTmOj4B_OVPMTMYijQiKg,Queen Sheba,4511 Baltimore Ave,19143,4.0,64,"Nightlife, Restaurants, Sports Bars, Bars, Ethiopian",10:0-2:0,10:0-2:0,10:0-2:0,10:0-2:0,10:0-2:0,10:0-2:0,10:0-2:0
Bih0eT_lbbCUwKmGYpX0hw,Ricci's Hoagies,1165 S 11th St,19147,4.0,67,"Restaurants, Italian, Sandwiches",8:0-15:0,8:0-15:0,8:0-15:0,8:0-15:0,8:0-15:0,9:0-15:30,closed
qot32tHVWZpiJibLTwQGyw,Pina's Pizza,8919 Ridge Ave,19128,3.5,47,"Restaurants, Italian, Pizza, Seafood",10:0-22:0,10:0-22:0,10:0-22:0,10:0-22:0,10:0-23:0,10:0-23:0,10:0-22:0
RI33oswGDkIsc0fuQ8GzjA,Oregon Steaks,2654 S 10th St,19148,3.5,184,"Restaurants, Cheesesteaks, Sandwiches, Steakhouses, Local Flavor",0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0
HFuAKE0uZ-frIMjroeA-cA,SET NoLibs,"1030 N 2nd St, Unit 101",19123,4.0,108,"Mexican, Bars, Restaurants, Asian Fusion, Lounges, Nightlife, Salad, Tacos",11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,11:0-23:0,11:0-23:0,11:0-23:0
E-DcL1u330qwvoxXhipmUQ,George's Sandwich Shop,900 S 9th St,19147,4.0,93,"Italian, Cheesesteaks, Restaurants, Sandwiches",8:0-17:0,8:0-17:0,8:0-17:0,8:0-17:0,8:0-17:0,closed,closed
9EgoCSRFfXUEGiJWFQLJ1w,Fine Wine & Good Spirits - Premium Collection,180 W Girard Ave,19123,4.0,36,"Beer, Wine & Spirits, Food",0:0-0:0,9:0-22:0,9:0-22:0,9:0-22:0,9:0-22:0,9:0-22:0,11:0-19:0
eFvzHawVJofxSnD7TgbZtg,Good Karma Cafe,928 Pine St,19107,4.0,249,"Food, Cafes, Coffee & Tea, Restaurants",7:0-17:0,7:0-17:0,7:0-17:0,7:0-17:0,7:0-17:0,7:0-17:0,7:0-17:0
KuLi91b-N_0XY_3IA72RJQ,MexiPhilly Food Cart,37TH St And Spruce St,19104,3.5,21,Food,,,,,,,
NOPk3f5TedR-fw9HO4VJlQ,Athenian Restaurant,6824 Torresdale Ave,19135,4.0,27,"Food, American (New), Diners, Restaurants, American (Traditional)",6:0-18:30,6:0-18:30,6:0-18:30,6:0-18:30,6:0-19:0,6:0-19:0,6:0-18:30
c6r29yLfVhZaSyrtsNVLRQ,The Palace of Indian,1533 S 11th St,19147,4.0,88,"Restaurants, Indian",16:0-22:0,closed,16:0-22:0,16:0-22:0,16:0-22:30,16:0-22:30,16:0-22:0
SIoCIxjn4jLt2O-4DajWJw,Mac's Tavern,226 Market St,19106,3.5,446,"Nightlife, Restaurants, American (New), Bars, Pubs",closed,closed,11:30-0:0,11:30-0:0,11:30-0:0,11:30-0:0,11:30-0:0
i_5PaxI8DK9EErsHBdwP1A,Tiffin-Etc,712 W Girard Ave,19123,3.0,21,"Restaurants, Indian",11:0-21:30,11:0-21:30,11:0-21:30,11:0-21:30,11:0-21:30,12:0-21:30,12:0-21:30
XpTNCVbO5wL1DtDyKzKqfA,Holmesburg Bakery,7935 Frankford Ave,19136,4.0,79,"Restaurants, Food, Bakeries",7:0-16:0,7:0-16:0,7:0-16:0,7:0-17:0,7:0-17:0,7:0-14:0,7:0-13:0
m1ohyfs8gcS9X-ZQ3Coj2Q,Chez Yasmine,3740 Spruce St,19104,4.0,37,"Food, Street Vendors, Food Trucks, Specialty Food",10:0-16:0,10:0-16:0,10:0-16:0,10:0-16:0,10:0-16:0,closed,closed
B2TRCYPklp7a8Ipcz5y-BA,Halal Gyro King,1 S 12th St,19107,4.5,24,"Food Trucks, Halal, Food, Street Vendors, Sandwiches, Middle Eastern, Food Stands, Restaurants",9:0-17:0,9:0-17:0,9:0-17:0,9:0-17:0,9:0-17:0,9:0-17:0,closed
J-ciDDEdIHMcChGIyKZnOg,Cake Life Bake Shop,1306 Frankford Ave,19125,4.5,241,"Caterers, Cafes, Event Planning & Services, Food, Cupcakes, Bakeries, Restaurants, Desserts",0:0-0:0,closed,11:0-18:0,8:0-12:0,11:0-18:0,10:0-17:0,10:0-17:0
XBdaG2kQ2Iz9VNGPZokjYg,Maria's Ristorante on Summit,8100 Ridge Ave,19128,3.5,98,"Italian, Pizza, Restaurants",11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,11:0-22:0,11:0-22:0,12:0-21:0
C_EtrXTygRX5RTUOKtO6Dg,Copabanana,4000 Spruce St,19104,3.0,334,"Nightlife, Bars, Restaurants, American (Traditional)",0:0-0:0,11:30-22:0,11:30-22:0,11:30-22:0,11:30-22:0,11:30-22:0,12:0-20:0
10wt8eSXI_PZfl9dRIiWmg,Rangoli: Vibrant Flavors of India,10863 Bustleton Ave,19116,4.0,89,"Pakistani, Specialty Food, Halal, Restaurants, Indian, Health Markets, Vegetarian, Vegan, Ethnic Food, Food",closed,11:0-21:30,11:0-21:30,11:0-21:30,11:0-21:30,11:0-21:30,11:0-21:30
AbtYqoBGuvlWmR1gU0c3XA,Foodery,324 S 10th St,19102,3.5,113,"Food, Delis, Beer, Wine & Spirits, Restaurants",9:0-0:0,9:0-0:0,9:0-0:0,9:0-0:0,9:0-0:0,9:0-0:0,9:0-0:0
vA5MHe9LqNQcp8k_CaFkHg,Dagwood's Pub,4625 Linden Ave,19114,4.0,123,"Restaurants, Pubs, Nightlife, Bars, Seafood",11:0-1:0,11:0-1:0,11:0-1:0,11:0-1:0,11:0-2:0,11:0-2:0,11:0-1:0
NDHgJsy-4Lb6WhERPXPs0A,Alena’s Cafe,6669 Germantown Ave,19119,5.0,29,"Cafes, Restaurants",closed,7:30-16:0,7:30-16:0,7:30-16:0,7:30-16:0,7:30-15:0,7:30-15:0
-OIUunijjcq_ZzyyQhPPFQ,Zorba's Taverna,2230 Fairmount Ave,19130,4.5,510,"Restaurants, Greek, Mediterranean",0:0-0:0,11:30-21:0,11:30-21:0,11:30-21:0,11:30-21:30,11:30-21:30,13:0-21:0
3nM3QNlex3OkNqM7FZTFPg,Heng Fa Food Market,130 N 10th St,19107,4.0,28,"Ethnic Food, Food, Specialty Food, International Grocery, Grocery, Imported Food",,,,,,,
VJEzpfLs_Jnzgqh5A_FVTg,Jasmine Rice - Rittenhouse,306 S 16th St,19102,3.5,307,"Soup, Thai, Restaurants, Salad",13:30-22:30,13:30-22:30,13:30-22:30,13:30-22:30,13:30-22:30,15:0-22:30,12:0-21:0
1UNorskttXSWuEcgzKzXcA,Xochitl,408 S 2nd St,19147,3.5,453,"Lounges, Restaurants, Asian Fusion, Mexican, Latin American, Nightlife, Bars",0:0-0:0,17:0-23:0,16:0-21:0,16:0-21:0,17:0-22:0,17:0-22:0,closed
0qbMXG1Aw3a2beoQhU52lQ,Al Sham Restaurant - Philadelphia,306 W Chelten Ave,19144,3.5,37,"Restaurants, Halal, Kebab, Middle Eastern",10:0-23:0,10:0-23:0,10:0-23:0,10:0-23:0,10:0-0:0,10:0-0:0,10:0-23:0
hUX1yAimviBIhb21D_KtcQ,Cactus Restaurant & Bar,4243 Main St,19127,3.0,312,"Mexican, Restaurants, Bars, Tex-Mex, Nightlife",11:0-2:0,11:0-2:0,11:0-2:0,11:0-2:0,11:0-2:0,11:0-2:0,11:0-2:0
RVLF2RaStLkJiQCqBHknDw,Mom Mom's Kitchen and Polish Food Cart,1505 South St,19146,5.0,91,"Food, Polish, Food Trucks, Street Vendors, Restaurants",0:0-0:0,closed,11:0-18:0,16:0-22:0,16:0-22:0,11:0-22:0,closed
0JoB3ThhI-DS78-1Ks1EUQ,Hibachi 2 Go,1414 Synder Ave,19145,3.5,105,"Sushi Bars, Japanese, Restaurants",10:30-21:30,10:30-21:30,10:30-21:30,10:30-21:30,10:30-21:30,10:30-21:30,11:0-21:0
SVV1VmybJGXGge6nFuHy_A,Williams-Sonoma,"200 S Broad St, Ste M6",19102,3.0,33,"Specialty Food, Shopping, Home & Garden, Kitchen & Bath, Food",0:0-0:0,9:0-18:0,9:0-18:0,9:0-16:0,closed,9:0-18:0,12:0-17:0
S0TBIuX2tkMjM0SCILJrtw,Day Break Eggs,2900 Grays Ferry Ave,19146,4.5,22,"Restaurants, Breakfast & Brunch",7:0-13:0,7:0-13:0,7:0-16:0,7:0-16:0,7:0-16:0,8:0-16:0,closed
7T1VAYHIS3cgsDj3iS6JWQ,The Frosted Fox Cake Shop,6511 Germantown Ave,19119,5.0,104,"Bakeries, Food",0:0-0:0,10:0-17:0,10:0-17:0,10:0-17:0,10:0-15:0,10:0-17:0,closed
17Y8circEnkMMXKfLo8Ztg,Bitar's,947 Federal St,19147,4.0,154,"Restaurants, Middle Eastern, Falafel, Bakeries, Food, Greek, Mediterranean",0:0-0:0,10:0-20:0,10:0-20:0,10:0-20:0,10:0-16:0,10:0-17:0,closed
z5YxP_jyIU7dRKUA7V_H0w,Cily Chicken Rice,933 Race St,19107,4.5,68,"Hainan, Fast Food, Chinese, Coffee & Tea, Food, Restaurants, Thai",0:0-0:0,16:0-22:0,closed,16:0-22:0,16:0-23:0,16:0-23:0,16:0-22:0
